id,title,content
1384,Article 1384,"y relented. ""They come from Kenosha so I'm going to pay the bill anyway. What the hell."" Donald Trump Holds Campaign Rally In Wisconsin"
1385,Article 1385,The Night Before Election Day President Donald Trump speaks to supporters during a campaign rally at the Kenosha Regional Airport on No
1386,Article 1386,"vember 02, 2020 in Kenosha, Wisconsin. Scott Olson / Getty Images Kenosha is the site of civil unrest this summer after police shot Jac"
1387,Article 1387,"ob Blake, a Black man, seven times. A White teen is accused of opening fire at protests over Blake's shooting, killing two people and w"
1388,Article 1388,"ounding a third. At Monday's rally, Mr. Trump mentioned the unrest this summer by noting he had been there over the summer.  ""You were "
1389,Article 1389,"in the news, right? You were in the news,"" he said. He also lamented seeing businesses board up in anticipation of violence after Elect"
1390,Article 1390,ion Day. By Nicole Sganga https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-updat
1391,Article 1391,"e-9af6f91c link copied 10:46 PM / November 2, 2020 Biden delivers final message: ""Tomorrow is the beginning of a new day"""
1392,Article 1392,"Joe Biden held his final campaign rally in Pittsburgh on Monday night, finishing out the 2020 campaign with an upbeat message."
1393,Article 1393,"""Folks, I have a feeling we're coming together for a big win tomorrow,"" Biden said. He added that ""tomorrow is the beginning of a new d"
1394,Article 1394,"ay"" and there is ""nothing that is gonna stop this nation from voting."" Biden also stressed that he will not ban fracking, after Preside"
1395,Article 1395,"nt Trump has repeatedly insisted Biden is against fracking. Fracking has been central to the economy of western Pennsylvania, where Pit"
1396,Article 1396,tsburgh is located. US-vote-BIDEN Democratic Presidential candidate and former US Vice President Joe Biden gestures after speaking duri
1397,Article 1397,"ng a Drive-In Rally at Heinz Field in Pittsburgh, Pennsylvania, on November 2, 2020. JIM WATSON/AFP via Getty Images By Caroline Linton"
1398,Article 1398,https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-db5e1c3a link copied
1399,Article 1399,"10:03 PM / November 2, 2020 Harris at last stop before Election Day: ""It ain't over til it's over"" Kamala Harris spoke at a drive-in ra"
1400,Article 1400,"lly in Philadelphia on the eve of Election Day, appearing with her husband Doug Emhoff and singer John Legend. Harris said she ""knew"" A"
1401,Article 1401,"merica would elect Biden, but ""we can't let up, because it ain't over til it's over."" She told the crowd of about 750 what she had seen"
1402,Article 1402,"while out campaigning, saying she had seen people ""lining the streets"" and ""the energy out there is real."" ""Across our country, you can"
1403,Article 1403,"feel that something is happening, in big cities and small towns,"" Harris said. Kamala Harris Campaigns In Pennsylvania On Eve Of Electi"
1404,Article 1404,on Day Democratic vice presidential nominee Sen. Kamala Harris (D-CA) addresses supporters at a drive-in election eve rally on November
1405,Article 1405,"2, 2020 in Philadelphia, Pennsylvania. Mark Makela / Getty Images By Caroline Linton https://www.cbsnews.com/live-updates/2020-election"
1406,Article 1406,"-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-560e93bd link copied 7:40 PM / November 2, 2020 Nevada GOP ""evaluating an "
1407,Article 1407,"expedited appeal"" after judge denies appeal to pause counting ballots in Clark County Nevada Republicans say they are ""evaluating an ex"
1408,Article 1408,"pedited appeal"" to the battleground state's highest court after a lower court judge on Monday filed an opinion denying their joint plea"
1409,Article 1409,"with Mr. Trump's campaign to pause the counting of early ballots in Clark County, the state's most populous. Democrats in the state hav"
1410,Article 1410,"e repeatedly decried the GOP's complaints around the county's handling of election observers and mail ballots, and Nevada Attorney Gene"
1411,Article 1411,"ral Aaron Ford in a statement Monday denounced the case as part of ""the president's deliberate attempts to undermine Nevada's elections"
1412,Article 1412,"."" In his order denying the Republicans' petition, Nevada District Judge James Wilson said ""the above-cited statutes created observers "
1413,Article 1413,"not counters, validators, or auditors. Allowing such access creates a host of problems."" By Alexander Tin https://www.cbsnews.com/live-"
1414,Article 1414,"updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-2f9db4b2 link copied 4:34 PM / November 2, 2020"
1415,Article 1415,"Federal judge rejects GOP effort to toss 127,000 ballots in Texas A federal judge on Monday dismissed a lawsuit filed by four Republica"
1416,Article 1416,"ns seeking to prevent officials from counting about 127,000 votes cast at drive-thru polling locations in the Houston area."
1417,Article 1417,The lawsuit asked a judge to invalidate votes cast at the drive-thru sites. Harris County's 10 drive-thru locations were established as
1418,Article 1418,part of an effort to limit the spread of coronavirus. Judge Andrew Hanen's ruling comes just over a day before voting concludes in the 
1419,Article 1419,"presidential election, and a day after the Texas Supreme Court denied a similar petition seeking to block Harris County's drive-thru vo"
1420,Article 1420,tes filed by the same group of Republicans. The Texas Supreme Court already rejected a similar case last month. In delivering his decis
1421,Article 1421,"ion in court just half an hour after hearing arguments, Hanen criticized the timing of the lawsuit. ""I don't find it timely. (Planning "
1422,Article 1422,"for drive-thru voting) has been going on basically all summer,"" Hanen said. ""And then at least since October 16, people have actually, "
1423,Article 1423,"I think it's the 16th, have been voting. And to file it late last week, I find that not to be timely and that therefore the likelihood "
1424,Article 1424,"of success does not weigh."" He said the plaintiffs did not adequately argue why, even if Harris County's plan was not permissible, vote"
1425,Article 1425,"rs should be punished. ""They voted according to the statute as far as they're concerned, that also weighs into balancing the harms. We "
1426,Article 1426,"have over 120,000 people that have already voted. With the vast, vast, vast majority of those did that in reliance on their public offi"
1427,Article 1427,"cials telling them that this was legal and this was the right way to vote and that it had been sanctioned,"" Hanen said. Read more here."
1428,Article 1428,By Graham Kates https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-0dc5a100
1429,Article 1429,"link copied 4:30 PM / November 2, 2020 Senior defense official: ""No evidence"" foreign actor has accessed election infrastructure"
1430,Article 1430,While U.S. intelligence and national security officials have warned voters to be aware of efforts by foreign actors to interfere in the
1431,Article 1431,"general election through disinformation campaigns, a senior defense official said there is ""no evidence a foreign adversary has gained "
1432,Article 1432,"access to election infrastructure."" ""Given the size, complexity and diversity of America's electoral system no country has the ability "
1433,Article 1433,"to change the outcome of the election,"" the official said on the eve of Election Day. By Melissa Quinn https://www.cbsnews.com/live-upd"
1434,Article 1434,"ates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-2577cb33 link copied 4:09 PM / November 2, 2020"
1435,Article 1435,"Former RNC communications director votes for Biden Ryan Mahoney, the Republican National Committee's communications director during Mr."
1436,Article 1436,"Trump's presidency from 2017 to 2019, announced on Twitter that he's voting for Biden. ""Proud to vote country over party; proud to vote"
1437,Article 1437,"for @JoeBiden,"" Mahoney tweeted, along with a picture of his ballot. By Kathryn Watson https://www.cbsnews.com/live-updates/2020-electi"
1438,Article 1438,"on-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-da55d616 link copied 2:40 PM / November 2, 2020 Biden campaign announces"
1439,Article 1439,"Election Day plans Joe Biden, Jill Biden, Kamala Harris and Doug Emhoff will fan out to five battleground states to get out the vote on"
1440,Article 1440,"Election Day, the Biden campaign announced. Biden is set to visit Scranton, where he was born, and Philadelphia, while Jill Biden will "
1441,Article 1441,"be in Tampa and St. Petersburg, Florida, as well as Wake County, North Carolina. Harris, meanwhile, is set to travel to Detroit, Michig"
1442,Article 1442,"an, and Emhoff, her husband, will stump for Biden and Harris in Columbus, Ohio. By Melissa Quinn https://www.cbsnews.com/live-updates/2"
1443,Article 1443,"020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-36fcf0fb link copied 1:58 PM / November 2, 2020"
1444,Article 1444,Biden campaign outlines paths to victory on Election Day Biden's top campaign officials held a briefing to detail their expectations fo
1445,Article 1445,"r election night, outlining Biden's paths to victory and denouncing reports that the president might prematurely declare victory while "
1446,Article 1446,"millions of votes remain to be counted. ""It was reported yesterday that President Trump believes that if he wins the East Coast battleg"
1447,Article 1447,"round states — Florida, North Carolina and Georgia — he plans to go out and declare victory. And we want to be clear with you — if he t"
1448,Article 1448,"ries to do that, that will not be true,"" campaign manager Jen O'Malley Dillon said. ""Under no scenario will Donald Trump be declared a "
1449,Article 1449,"victor on election night, and we think that's really fundamental to how we want to approach tomorrow."" O'Malley Dillon said Biden holds"
1450,Article 1450,"a ""significant advantage"" heading into Election Day, given his lead among early voters. ""Leads like ours and what we're seeing will be "
1451,Article 1451,"difficult to overcome,"" she said, pointing to leads in states like North Carolina, Wisconsin and Arizona. ""What it means for Election D"
1452,Article 1452,"ay is that, with our advantage coming into North Carolina, where we estimate about 87% of the projected vote is already in, we believe "
1453,Article 1453,"that Trump is going to need 62% of the votes on Election Day in order to win,"" O'Malley Dillon said, noting the campaign estimates that"
1454,Article 1454,"figure to be 61% and 60% in Wisconsin and Arizona, respectively. ""We know that all the ballots aren't going to be reported on election "
1455,Article 1455,"night, and in fact, that's not just our supporters, that's going to be his supporters, too,"" she said. ""It's also going to be our milit"
1456,Article 1456,ary overseas who have turned in their ballots. It's also going to be our COVID frontline workers ... We believe every vote should be co
1457,Article 1457,"unted, as it always has been."" O'Malley Dillon outlined various ways Biden could win the 270 electoral votes needed to secure the White"
1458,Article 1458,"House, saying the president ""has a very narrow path to win."" ""We can get to 270 without Florida, which is a significant advantage,"" she"
1459,Article 1459,"added, saying the campaign would still have ""a clear and viable path"" to 270 even if Mr. Trump wins Florida and North Carolina, both of"
1460,Article 1460,"which will begin reporting results earlier. That path runs through Michigan, Wisconsin and Pennsylvania, which O'Malley Dillon said was"
1461,Article 1461,"also the former vice president's ""easiest"" path to victory. screen-shot-2020-11-02-at-1-42-28-pm.png A slide from a briefing by Biden c"
1462,Article 1462,"ampaign officials on Monday, November 1, 2020. Biden campaign Campaign adviser Bob Bauer detailed the campaign's election protection pr"
1463,Article 1463,"ogram and said it has seen ""minimal'' incidents of voters reporting difficulties exercising their right to vote. The Biden campaign, he"
1464,Article 1464,"said, has deployed thousands of poll observers to assist election officials with identifying and addressing issues that may arise at th"
1465,Article 1465,"e polls. Like O'Malley Dillon, Bauer dismissed the notion that Mr. Trump could declare himself the victor Tuesday night."
1466,Article 1466,"""It is absurd for the president to suggest there is any significance at all to his declaring victory on election night,"" Bauer said. ""H"
1467,Article 1467,"e has no constitutional legal right to declare himself the president."" ""When you hear the noise out of election night from the directio"
1468,Article 1468,"n of Donald Trump, if you read the tweets, if you read the tweets of some of his supporters echoing what he is saying, just ignore it. "
1469,Article 1469,"There's nothing to it,"" he continued. Addressing potential legal challenges that may arise after Election Day, Bauer said the Biden cam"
1470,Article 1470,"paign is ""fully prepared"" for any ""legal hijinx"" from the Trump campaign. ""I think it's very telling that President Trump is focused no"
1471,Article 1471,"t on his voters but on his lawyers, and his lawyers are not going to win the election for him, there's no question about it,"" he said. "
1472,Article 1472,"""The case he's turning over to his lawyers when the voters have spoken is a case that no lawyer can win and his lawyers will not win it"
1473,Article 1473,". We're going to match them, I assure you, and exceed them in quality and vigor and we'll protect the vote."" Stefan Becket and Melissa "
1474,Article 1474,Quinn https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-cf9a13f7
1475,Article 1475,"link copied 12:50 PM / November 2, 2020 Justice Department sending monitors to 18 states ensure compliance with federal voting laws"
1476,Article 1476,"The Justice Department announced its Civil Rights Division will dispatch personnel to 44 jurisdictions in 18 states to ""monitor for com"
1477,Article 1477,"pliance with the federal voting rights laws"" on Election Day. This year, staff will be sent to counties and cities in the following sta"
1478,Article 1478,"tes: Arizona, California, Florida, Georgia, Illinois, Maryland, Massachusetts, Michigan, Minnesota, New Jersey, New Mexico, North Carol"
1479,Article 1479,"ina, Ohio, Pennsylvania, South Carolina, Texas, Virginia and Wisconsin. A full list of jurisdictions can be found here. The Justice Dep"
1480,Article 1480,"artment's move is not out of the ordinary. For the 2016 general election, the department deployed more than 500 employees to 67 jurisdi"
1481,Article 1481,"ctions in 28 states, and for Election Day in 2012, the Justice Department sent more than 780 observers and personnel to 51 jurisdiction"
1482,Article 1482,s in 23 states. By Melissa Quinn https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#pos
1483,Article 1483,"t-update-e718be4c link copied 12:30 PM / November 2, 2020 Biden rebukes Trump's attacks on Fauci: ""Elect me and I'm going to hire Dr. F"
1484,Article 1484,"auci"" Addressing supporters at a drive-in rally in Cleveland, a last-minute addition to his campaign schedule, Biden lambasted the pres"
1485,Article 1485,ident for his handling of the coronavirus pandemic and said the first step toward defeating the virus is denying Mr. Trump a second ter
1486,Article 1486,"m. ""This guy is a disgrace,"" the former vice president said of the president. Responding to Mr. Trump's suggestion Sunday at a rally in"
1487,Article 1487,"Opa-locka, Florida, that he may fire Dr. Anthony Fauci, the nation's leading infectious disease expert, after the election, Biden said "
1488,Article 1488,"he will ensure Fauci remains in government if he wins the White House. ""Elect me and I'm going to hire Dr. Fauci and we're going to fir"
1489,Article 1489,"e Donald Trump,"" Biden said. The former vice president drew contrasts between his own middle class upbringing in Scranton, Pennsylvania"
1490,Article 1490,", and Claymont, Delaware, with Mr. Trump's childhood in a wealthy neighborhood in Queens. ""It's about time a guy from a state universit"
1491,Article 1491,"y graduated into the White House because if I'm there, you're going to be there, too,"" Biden, who graduated from the University of Dela"
1492,Article 1492,"ware, said. By Melissa Quinn https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-up"
1493,Article 1493,"date-c6ff5289 link copied 11:45 AM / November 2, 2020 Trump planning election night festivities at the White House A senior administrat"
1494,Article 1494,ion official told CBS News that Mr. Trump is planning to host an election night party at the White House. Roughly 400 guests have been 
1495,Article 1495,"invited, though it's unlikely all will attend, the official said. The party is expected to take place on the State Floor of the White H"
1496,Article 1496,"ouse, which includes the East Room. While other festivities are set to take place around the nation's capital, it's unclear whether the"
1497,Article 1497,president will appear at any other election night parties. By Ben Tracy https://www.cbsnews.com/live-updates/2020-election-trump-last-2
1498,Article 1498,"020-maga-rally-biden-new-hampshire/#post-update-6961ee58 link copied 11:42 AM / November 2, 2020 Republicans express concerns about Geo"
1499,Article 1499,"rgia Some Republicans are concerned about the Peach State, which Mr. Trump won easily in 2016 but could spell trouble for him this year"
1500,Article 1500,". One plugged-in GOP donor in Georgia who has seen party battleground internal polls says Republicans have ""lots of worries"" about Geor"
1501,Article 1501,gia. Another Republican staffer on Capitol Hill said that Republicans are feeling weak-kneed about the state. This source said to keep 
1502,Article 1502,an eye on the Senate race between Democrat Jon Ossoff and Republican Senator David Perdue. It's possible that Perdue does poorly and dr
1503,Article 1503,"ags Mr. Trump down with him, the person said. Voting in Georgia has already surpassed 2016 turnout, and high turnout usually means good"
1504,Article 1504,"things for Democrats. The Georgia GOP donor pointed to swelling Black and Latino populations in the state, along with GOP Governor Bria"
1505,Article 1505,"n Kemp's unpopularity and strong get-out-the-vote efforts from Democrats. ""There's a reason that President Trump made time for his Rome"
1506,Article 1506,", Georgia, stop last night,"" the donor said. Arden Farhi and Nicole Sganga https://www.cbsnews.com/live-updates/2020-election-trump-las"
1507,Article 1507,"t-2020-maga-rally-biden-new-hampshire/#post-update-c2461d08 link copied 10:00 AM / November 2, 2020 DNC touts success of ""IWillVote"" in"
1508,Article 1508,"itiative, releases new digital ad with Billie Jean King The Democratic National Committee (DNC) is hailing the success of its voting in"
1509,Article 1509,"itiative ""IWillVote,"" revealing that its website iwillvote.com has attracted 18,599,788 individual visitors so far this year. With one "
1510,Article 1510,"day until Election Day, the DNC is also releasing a new digital ad featuring tennis legend Billie Jean King, urging Americans to vote i"
1511,Article 1511,"f they haven't yet done so. The ad will run in key battleground states. In the ad, King referenced the record turnout of Americans who "
1512,Article 1512,"have voted early. In a final push, King asks viewers to ""help us make this election have the highest turnout in American history. Be a "
1513,Article 1513,"history maker — vote on Election Day."" Throughout the campaign, the DNC has released ads on various platforms featuring figures like fo"
1514,Article 1514,"rmer President Obama and ""Hamilton"" star Leslie Odom, Jr., directing people to the IWillVote website for more information on how and wh"
1515,Article 1515,"ere to cast their ballots. Mr. Obama plugged the website in person at a rally in Flint, Michigan, on October 31. ""Just go to iwillvote."
1516,Article 1516,"com,"" Mr. Obama said. ""Find your polling place, get out there and vote."" The DNC's ""I Will Vote"" website provided voters with education"
1517,Article 1517,al resources to identify vote-by-mail and early voting deadlines in their states. The website also gave voters the opportunity to reque
1518,Article 1518,"st a ballot via email specific to their state, to print a vote-by-mail request form and to request an envelope with prepaid postage."
1519,Article 1519,"The site attracted its highest level of traffic on October 8, the night of the vice presidential debate between Vice President Mike Pen"
1520,Article 1520,"ce and Senator Kamala Harris. Nearly 1.7 million people visited the site, totaling more than 2.2 million page views, according to a DNC"
1521,Article 1521,"official. During the debate, Harris mentioned the website. The DNC official noted that 507,703 people started the voter registration pr"
1522,Article 1522,"ocess through the website this year, and 636,358 people utilized the website to request a vote-by-mail application or to learn how to v"
1523,Article 1523,ote by mail in their state. By Jack Turman https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hamp
1524,Article 1524,"shire/#post-update-4ed6dd4d link copied 9:12 AM / November 2, 2020 Key House races to watch on Election Day Although Democrats are in l"
1525,Article 1525,"ittle danger of losing their majority in the House, there are several close elections in critical districts which could indicate which "
1526,Article 1526,way the presidential race will swing. Here's a rundown of some key House districts that may flip in this election. By Grace Segers
1527,Article 1527,https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-d48c1618 link copied
1528,Article 1528,"8:50 AM / November 2, 2020 Where Trump and Biden are speaking on Monday Here's where both candidates are speaking on Monday:"
1529,Article 1529,"Biden Delivers remarks in Cleveland, Ohio, in the afternoon to encourage Ohioans to vote Canvas kick-off in Beaver County, Pennsylvania"
1530,Article 1530,", time TBD Drive-in rally in Pittsburgh, time TBD Drive-in rally with Dr. Jill Biden and Lady Gaga in Pittsburgh at 8:55 p.m. ET"
1531,Article 1531,"Trump Rally in Fayetteville, North Carolina, at 11:45 a.m. ET Rally in Avoca, Pennsylvania, at 2:15 p.m. ET Rally in Traverse City, Mic"
1532,Article 1532,"higan, with Vice President Pence at 5:15 p.m. ET Rally in Kenosha, Wisconsin, at 8 p.m. ET Rally in Grand Rapids, Michigan, with Vice P"
1533,Article 1533,resident Pence at 10:30 p.m. ET By Melissa Quinn https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-ne
1534,Article 1534,"w-hampshire/#post-update-a9be6f47 link copied 8:53 AM / November 2, 2020 Early vote total tops 94 million Monday is the last day of the"
1535,Article 1535,"early-vote period, and so far, more than 94 million people have cast their ballots, which is 67.7% of the total votes counted in the 20"
1536,Article 1536,"16 general election, when 138 million Americans voted. In-person early votes make up 34,045,137 of the total early votes so far. Of mai"
1537,Article 1537,"l-in ballots, 59,961,024 have been returned, while 31,385,941 are outstanding. By Cara Korte https://www.cbsnews.com/live-updates/2020-"
1538,Article 1538,"election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-71546338 link copied 8:49 AM / November 2, 2020 Trump to hit sever"
1539,Article 1539,al swing states and Biden's hometown The president will be campaigning in several swing states on Monday. He will kick off campaigning 
1540,Article 1540,"in Fayetteville, North Carolina, and then will travel to Scranton, Pennsylvania. Mr. Trump will then head to Kenosha, Wisconsin, which "
1541,Article 1541,erupted in protests this summer after police shot Jacob Blake and a 17-year-old allegedly killed two people during demonstrations.
1542,Article 1542,"Mr. Trump will cap the night off with an event in Grand Rapids, Michigan, with Vice President Mike Pence. By Caroline Linton"
1543,Article 1543,https://www.cbsnews.com/live-updates/2020-election-trump-last-2020-maga-rally-biden-new-hampshire/#post-update-f08a16d3 link copied
1544,Article 1544,"8:47 AM / November 2, 2020 Obama to campaign in Georgia and Florida on Monday Former President Obama will hold campaign events in Georg"
1545,Article 1545,"ia and Florida on Monday, the Biden campaign announced Sunday. Mr. Obama will hold a get out the vote rally in Atlanta and then will ha"
1546,Article 1546,"ve an election eve rally in Miami. Mr. Obama will be campaigning for Biden-Harris but also for Jon Ossoff, the Democratic challenger to"
1547,Article 1547,incumbent Senator David Perdue. An October 25 CBS News Battleground Tracker poll found Ossoff trailing by 1 point. Mr. Trump won Georgi
1548,Article 1548,"a by 5 points in 2016, but the CBS News Battleground Tracker ranks the state as a toss-up in this election. Mr. Trump campaigned in Rom"
1549,Article 1549,"e, Georgia, on Sunday. By Caroline Linton Politics Puerto Rico governor looks to move up 2020 Democratic primary By Camilo Montoya-Galv"
1550,Article 1550,"ez June 12, 2019 / 3:06 PM EDT / CBS News Washington — Puerto Rico Gov. Ricardo Rosselló is spearheading an effort to move up the date "
1551,Article 1551,"of the island's 2020 Democratic primary to highlight the pressing issues facing the U.S. territory, which some progressives worry are b"
1552,Article 1552,"eing neglected on the campaign trail. The measure, which is expected to pass the island's legislature in the coming weeks, would move t"
1553,Article 1553,he primary from the first Sunday in June to the last Sunday in March. Rosselló said the change would incentivize the two-dozen Democrat
1554,Article 1554,"s running for president to actively address proposals to remedy some of the island's woes, including stalled hurricane recovery efforts"
1555,Article 1555,"and a prolonged fiscal crisis. ""You have a platform there in Puerto Rico to really zero in. It can be kind of the ground zero of the di"
1556,Article 1556,"scussions of some of the issues that are important for the Democratic candidates,"" the governor told CBS News during an exclusive inter"
1557,Article 1557,"view in Washington. ""And I hope — and I expect — others to come to the island."" If the measure passes as expected, Rosselló said Democr"
1558,Article 1558,"atic presidential campaigns will make more an effort to win over the state's delegates. In 2016, Puerto Rico had 67 Democratic delegate"
1559,Article 1559,"s in play, more than than over two dozen states and territories. The governor is also pushing the Democratic National Committee (DNC) t"
1560,Article 1560,o hold a presidential debate in Puerto Rico and said a formal request will be forthcoming. Puerto Rico Hurricane Maria Roofless
1561,Article 1561,"In this June 18, 2018 photo shows an aerial photo of the Viequez neighborhood, east of San Juan, Puerto Rico. Thousands of people acros"
1562,Article 1562,"s Puerto Rico are still living in damaged homes, protected by blue plastic tarps, nine months since Hurricane Maria devastated the isla"
1563,Article 1563,nd. Dennis M. Rivera / AP Rosselló said Puerto Rico — home to approximately 3.2 million U.S. citizens — can serve as a microcosm of iss
1564,Article 1564,"ues that affect the entire nation but that are particularly pronounced on the island. ""These issues that are important to all of the ca"
1565,Article 1565,"ndidates that resonate in Iowa, in New Hampshire, in California and elsewhere, they resonate in Puerto Rico,"" he added. The governor sa"
1566,Article 1566,"id the ""extreme"" economic inequality on the island — which is the highest of any U.S. state or territory, based on the most widely reco"
1567,Article 1567,gnized measure of income inequality — can help candidates highlight the issue of wealth disparity across the country. On climate change
1568,Article 1568,", Rosselló said Puerto Rico can become a ""model"" for national efforts to reduce carbon emissions and expand renewable energy. He said t"
1569,Article 1569,"he Caribbean island, unlike most areas in the mainland U.S., has felt the brunt of human-induced climate change by way of rising sea le"
1570,Article 1570,"vels, severe droughts and powerful storms, like the pair that pummeled the U.S. territory in 2017. Rosselló, an ardent supporter of Pue"
1571,Article 1571,"rto Rican statehood, also believes the island represents the most compelling example of voter disenfranchisement in the U.S."
1572,Article 1572,"U.S. citizens in Puerto Rico can't vote in the general presidential election, as the island does not have electoral votes, unlike the D"
1573,Article 1573,"istrict of Columbia, which also lacks voting representation in Congress but was granted electoral votes under the 23rd Amendment. Puert"
1574,Article 1574,"o Ricans who move to the mainland and register, however, can cast ballots in general elections. Under the 1979 Guaranteed Presidential "
1575,Article 1575,"Vote U.S. citizens in Puerto Rico Act, U.S. citizens on the island can vote in party primaries. ""What better place to sort of highlight"
1576,Article 1576,"the effects of voter disenfranchisement than in Puerto Rico where you have 3.2 million U.S. citizens that are just disenfranchised?"" Ro"
1577,Article 1577,"sselló asked. Face The Nation Transcript: Dr. Anthony Fauci on ""Face the Nation,"" February 16, 2020 face-the-nation February 16, 2020 /"
1578,Article 1578,"11:25 AM EST / CBS News The following is a transcript of an interview with Dr. Anthony Fauci that aired Sunday, February 16, 2020, on """
1579,Article 1579,"Face the Nation."" MARGARET BRENNAN: Joining us now is Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious D"
1580,Article 1580,"iseases at NIH. Dr. Fauci, it's good to have you here. DR. ANTHONY FAUCI: Good to be with you. MARGARET BRENNAN: We were just hearing a"
1581,Article 1581,bout the State Department sending planes to help evacuate some of these Americans who were on that cruise ship. Debora said more than 4
1582,Article 1582,"0 now. What can you tell us in terms of the Americans have been exposed and infected? DR. FAUCI: Well, 40 of them have gotten infected."
1583,Article 1583,They are not going to go anywhere. They're going to be in hospitals in Japan. People who have symptoms will not be able to get on the e
1584,Article 1584,vacuation plane. Others are going to be evacuated starting imminently to Air Force bases in the United States. If people on the plane s
1585,Article 1585,"tart to develop symptoms, they'll be segregated within the plane. So there's a very firm plan with this 747 that is going to take these"
1586,Article 1586,"passengers now who have been there. If you want to stay in Japan, your last chance would be to get on the plane and leave or you stay t"
1587,Article 1587,"here. When you come back to the United States, importantly, they're still subjected to a 14 day quarantine. And the reason for that is "
1588,Article 1588,that the degree of transmissibility on that cruise ship is essentially akin to being in a hot spot. A lot of transmissibility on that c
1589,Article 1589,"ruise ship. MARGARET BRENNAN: So for the Americans who are infected, what does that actually mean? What is the state of their health?"
1590,Article 1590,"DR. FAUCI: Yeah, well, it varies. I mean, you could be infected and have minimal symptoms, but you still have the possibility of transm"
1591,Article 1591,itting it to someone else. MARGARET BRENNAN: OK. DR. FAUCI: Or you could be infected and have some significant lung disease that would 
1592,Article 1592,"require hospitalization and perhaps even some serious intervention. MARGARET BRENNAN: Now, Malaysian health authorities have also said "
1593,Article 1593,there was an 83 year old American woman who had been on a different cruise ship which ended up docking in Cambodia. She landed in Malay
1594,Article 1594,"sia and then tested positive. This kind of spread, does this indicate this is becoming a pandemic? DR. FAUCI: Well, a pandemic is when "
1595,Article 1595,"you have multiple countries throughout the world that have what's called sustained transmission from person to person to person, multip"
1596,Article 1596,"le generations. Right now, there are 24 countries in which there were over five hundred cases. Several of them are starting to get to t"
1597,Article 1597,"he second and third transmission. So technically speaking, the WHO wouldn't be calling this a global pandemic, but it certainly is on t"
1598,Article 1598,he verge of that happening reasonably soon unless containment is more successful than it is right now. MARGARET BRENNAN: As Debora said
1599,Article 1599,", there are experts landing in China this week. DR. FAUCI: Right. MARGARET BRENNAN: Americans will be among them. DR. FAUCI: Right."
1600,Article 1600,"MARGARET BRENNAN: Is there anyone from your team and- and what is the difference-- DR. FAUCI: Yeah. MARGARET BRENNAN: --if, say, the CD"
1601,Article 1601,"C had been allowed in-- DR. FAUCI: Right. MARGARET BRENNAN: --versus the WHO? DR. FAUCI: You know, MARGARET, to be honest with you, we "
1602,Article 1602,really should not be talking about that because the sensitivity of coming out ahead of the Chinese of making any kind of announcement. 
1603,Article 1603,"But you're correct, there certainly-- MARGARET BRENNAN: But the Chinese ambassador was on this program last week and he indicated Ameri"
1604,Article 1604,"cans were on that list. DR. FAUCI: Well, then if he says it, then they're on that list. Yes. MARGARET BRENNAN: But- but what is the dif"
1605,Article 1605,"ference there? Why would it be more beneficial to have-- DR. FAUCI: Well, for two reasons-- MARGARET BRENNAN: --your agency be able to "
1606,Article 1606,"send people, have CDC officials there? DR. FAUCI: Well, the reason is because first of all, this- our CDC are the best epidemiologists "
1607,Article 1607,"in the world. They can be helpful to the Chinese as well as get information firsthand, eyes, ears and boots on the ground. So it really"
1608,Article 1608,"is to be helpful as part of the WHO group. MARGARET BRENNAN: Because the WHO has been criticized, perhaps being too careful around the "
1609,Article 1609,Chinese government in their part of the U.N. agency. They receive international funding. China has tremendous power over them. Is that 
1610,Article 1610,"criticism fair? DR. FAUCI: You know, I don't know if it's fair or not, but certainly it's been spoken about. I mean, clearly, the direc"
1611,Article 1611,"tor of WHO, Dr. Tedros, is really an outstanding person. And under very difficult circumstances, I think he's doing a very good job."
1612,Article 1612,MARGARET BRENNAN: The president has said at least twice so far that the virus could tick down in these warmer months ahead. He indicate
